date,bank,product_name,rate_effective,rate_nominal,monthly,total_cost,first_year_cost,establishment_fee
2024-08-20,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-08-21,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-08-21,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-21,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-21,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-21,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-21,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-21,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-21,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-21,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-08-21,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-08-22,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-08-22,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-22,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-22,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-22,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-22,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-22,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-22,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-22,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-08-22,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-08-23,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-08-23,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-23,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-23,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-23,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-23,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-23,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-23,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-23,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-08-23,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-08-24,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-08-24,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-24,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-24,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-24,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-24,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-24,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-24,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-24,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-08-24,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-08-25,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-08-25,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-25,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-25,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-25,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-25,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-25,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-25,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-25,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-08-25,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-08-26,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-08-26,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-26,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-26,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-26,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-26,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-26,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-26,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-26,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-08-26,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-08-27,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-08-27,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-27,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-27,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-27,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-27,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-27,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-27,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-27,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-08-27,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-08-28,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-08-28,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-28,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-28,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-28,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-28,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-28,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-28,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-28,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-08-28,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-08-29,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-08-29,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-29,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-29,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-29,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-29,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-29,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-29,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-29,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-08-29,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-08-30,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-08-30,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-30,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-30,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-30,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-30,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-30,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-30,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-30,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-08-30,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-08-31,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-08-31,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-08-31,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-08-31,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-08-31,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-08-31,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-08-31,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-08-31,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-08-31,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-08-31,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-09-01,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-09-01,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-09-01,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-09-01,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-09-01,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-09-01,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-09-01,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-09-01,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-09-01,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-09-01,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-09-02,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-09-02,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-09-02,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-09-02,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-09-02,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-09-02,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-09-02,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-09-02,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-09-02,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-09-02,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-09-03,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-09-03,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-09-03,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-09-03,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-09-03,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-09-03,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-09-03,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-09-03,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-09-03,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-09-03,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-09-04,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-09-04,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-09-04,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-09-04,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-09-04,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-09-04,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-09-04,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-09-04,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-09-04,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-09-04,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-09-05,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-09-05,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-09-05,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-09-05,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-09-05,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
2024-09-05,Luster Sparebank,Grønt Bustadlån,5.45,5.29,33883,8131920,406596,2000
2024-09-05,Valle Sparebank,Grønt bustadlån,5.46,5.3,33921,8141040,407052,2500
2024-09-05,Sunndal Sparebank,Grønt førstehjemslån,5.47,5.3,33927,8142480,407124,3500
2024-09-05,Landkreditt Bank AS,Grønt Boliglån 75%,5.47,5.34,33947,8147280,407364,0
2024-09-05,SpareBank 1 Østfold Akershus,Grønt Førstehjemslån,5.5,5.34,34024,8165760,408288,3000
2024-09-06,Romsdal Sparebank,Grønt boliglån,5.32,5.15,33535,8048400,402420,7500
2024-09-06,Ørskog Sparebank,Grønt bustadlån,5.36,5.2,33650,8076000,403800,3000
2024-09-06,NORDirekte (Skagerrak Sparebank),Grønt boliglån,5.36,5.22,33648,8075520,403776,0
2024-09-06,Rindal Sparebank,Grønt boliglån,5.4,5.25,33762,8102880,405144,3000
2024-09-06,Sparebanken Øst,Grønt førstehjemslån,5.44,5.28,33851,8124240,406212,0
